Date,Hours From Start,Area,MayHavePlant
2023-05-16_1605,0,0,False
2023-05-16_1705,1,0,False
2023-05-16_1805,2,0,False
2023-05-16_1905,3,0,False
2023-05-16_2005,4,0,False
2023-05-16_2105,5,0,False
2023-05-16_2205,6,0,False
2023-05-16_2305,7,0,False
2023-05-17_0005,8,0,False
2023-05-17_0105,9,0,False
2023-05-17_0205,10,0,False
2023-05-17_0305,11,0,False
2023-05-17_0405,12,0,False
2023-05-17_0505,13,0,False
2023-05-17_0605,14,0,False
2023-05-17_0705,15,0,False
2023-05-17_0805,16,0,False
2023-05-17_0905,17,0,False
2023-05-17_1005,18,0,False
2023-05-17_1105,19,0,False
2023-05-17_1205,20,0,False
2023-05-17_1305,21,0,False
2023-05-17_1405,22,0,False
2023-05-17_1505,23,0,False
2023-05-19_1439,70,0,False
2023-05-19_1905,75,0,False
2023-05-19_2005,76,0,False
2023-05-22_0905,137,0,False
2023-05-22_1005,138,0,False
2023-05-22_1105,139,0,False
2023-05-22_1205,140,0,False
2023-05-22_1305,141,0,False
2023-05-22_1405,142,0,False
2023-05-22_1505,143,0,False
2023-05-22_1605,144,0,False
2023-05-22_1705,145,0,False
2023-05-22_1805,146,0,False
2023-05-23_1005,162,0,False
2024-03-01_0805,6953,0,False
2024-03-01_0905,6954,0,False
2024-03-01_1005,6955,0,False
2024-03-01_1105,6956,0,False
2024-03-01_1205,6957,0,False
2024-03-01_1305,6958,1,False
2024-03-01_1405,6959,0,False
2024-03-01_1505,6960,0,False
2024-03-01_1605,6961,0,False
2024-03-01_1705,6962,0,False
2024-03-01_1805,6963,0,False
2024-03-01_1905,6964,1,False
2024-03-01_2005,6965,0,False
2024-03-01_2105,6966,0,False
2024-03-01_2205,6967,0,False
2024-03-01_2305,6968,0,False
2024-03-02_0005,6969,0,False
2024-03-02_0105,6970,0,False
2024-03-02_0205,6971,0,False
2024-03-02_0305,6972,0,False
2024-03-02_0405,6973,0,False
2024-03-02_0505,6974,0,False
2024-03-02_0605,6975,0,False
2024-03-02_0705,6976,0,False
2024-03-02_0805,6977,0,False
2024-03-02_0905,6978,0,False
2024-03-02_1005,6979,0,False
2024-03-02_1105,6980,0,False
2024-03-02_1205,6981,0,False
2024-03-02_1305,6982,0,False
2024-03-02_1405,6983,0,False
2024-03-02_1505,6984,0,False
2024-03-02_1605,6985,0,False
2024-03-02_1705,6986,0,False
2024-03-02_1805,6987,0,False
2024-03-02_1905,6988,0,False
2024-03-02_2005,6989,0,False
2024-03-02_2105,6990,0,False
2024-03-02_2205,6991,0,False
2024-03-02_2305,6992,0,False
2024-03-03_0005,6993,0,False
2024-03-03_0105,6994,0,False
2024-03-03_0205,6995,0,False
2024-03-03_0305,6996,0,False
2024-03-03_0405,6997,0,False
2024-03-03_0505,6998,0,False
2024-03-03_0605,6999,1,False
2024-03-03_0705,7000,0,False
2024-03-03_0805,7001,0,False
2024-03-03_0905,7002,0,False
2024-03-03_1005,7003,0,False
2024-03-03_1105,7004,0,False
2024-03-03_1205,7005,0,False
2024-03-03_1305,7006,0,False
2024-03-03_1405,7007,0,False
2024-03-03_1505,7008,0,False
2024-03-03_1605,7009,0,False
2024-03-03_1705,7010,0,False
2024-03-03_1805,7011,0,False
2024-03-03_1905,7012,0,False
2024-03-03_2005,7013,0,False
2024-03-03_2105,7014,0,False
2024-03-03_2205,7015,0,False
2024-03-03_2305,7016,0,False
2024-03-04_0005,7017,0,False
2024-03-04_0105,7018,0,False
2024-03-04_0205,7019,0,False
2024-03-04_0305,7020,0,False
2024-03-04_0405,7021,0,False
2024-03-04_0505,7022,0,False
2024-03-04_0605,7023,0,False
2024-03-04_0705,7024,0,False
2024-03-04_0805,7025,0,False
2024-03-04_0905,7026,0,False
2024-03-04_1005,7027,0,False
2024-03-04_1105,7028,0,False
2024-03-04_1205,7029,0,False
2024-03-04_1305,7030,0,False
2024-03-04_1405,7031,0,False
2024-03-04_1505,7032,0,False
2024-03-04_1605,7033,0,False
2024-03-04_1705,7034,0,False
2024-03-04_1805,7035,0,False
2024-03-04_1905,7036,0,False
2024-03-04_2005,7037,0,False
2024-03-04_2105,7038,0,False
2024-03-04_2205,7039,0,False
2024-03-04_2305,7040,0,False
2024-03-05_0005,7041,0,False
2024-03-05_0105,7042,0,False
2024-03-05_0205,7043,0,False
2024-03-05_0305,7044,0,False
2024-03-05_0405,7045,0,False
2024-03-05_0505,7046,0,False
2024-03-05_0605,7047,0,False
2024-03-05_0705,7048,0,False
2024-03-05_0805,7049,0,False
2024-03-05_0905,7050,0,False
2024-03-05_1005,7051,0,False
2024-03-05_1105,7052,0,False
2024-03-05_1205,7053,0,False
2024-03-05_1305,7054,0,False
2024-03-05_1405,7055,0,False
2024-03-05_1505,7056,2,False
2024-03-05_1605,7057,0,False
2024-03-05_1705,7058,0,False
2024-03-05_1805,7059,2,False
2024-03-05_1905,7060,0,False
2024-03-05_2005,7061,0,False
2024-03-05_2105,7062,0,False
2024-03-05_2205,7063,0,False
2024-03-05_2305,7064,0,False
2024-03-06_0005,7065,0,False
2024-03-06_0105,7066,0,False
2024-03-06_0205,7067,1,False
2024-03-06_0305,7068,0,False
2024-03-06_0405,7069,0,False
2024-03-06_0505,7070,0,False
2024-03-06_0605,7071,1,False
2024-03-06_0705,7072,0,False
2024-03-06_0805,7073,0,False
2024-03-06_0905,7074,5,False
2024-03-06_1005,7075,3,False
2024-03-06_1105,7076,0,False
2024-03-06_1205,7077,0,False
2024-03-06_1305,7078,1,False
2024-03-06_1405,7079,2,False
2024-03-06_1505,7080,0,False
2024-03-06_1605,7081,0,False
2024-03-06_1705,7082,3,False
2024-03-06_1805,7083,1,False
2024-03-06_1905,7084,1,False
2024-03-06_2005,7085,0,False
2024-03-06_2105,7086,0,False
2024-03-06_2205,7087,1,False
2024-03-06_2305,7088,972,False
2024-03-07_0005,7089,0,False
2024-03-07_0105,7090,5,False
2024-03-07_0205,7091,2,False
2024-03-07_0305,7092,1,False
2024-03-07_0405,7093,1,False
2024-03-07_0505,7094,1,False
2024-03-07_0605,7095,0,False
2024-03-07_0705,7096,0,False
2024-03-07_0805,7097,1,False
2024-03-07_0905,7098,1,False
2024-03-07_1005,7099,2,False
2024-03-07_1105,7100,0,False
2024-03-07_1205,7101,4,False
2024-03-07_1305,7102,1,False
2024-03-07_1405,7103,0,False
2024-03-07_1505,7104,0,False
2024-03-07_1605,7105,0,False
2024-03-07_1705,7106,5,False
2024-03-07_1805,7107,1,False
2024-03-07_1905,7108,1,False
2024-03-07_2005,7109,0,False
2024-03-07_2105,7110,0,False
2024-03-07_2205,7111,0,False
2024-03-07_2305,7112,38,False
2024-03-08_0005,7113,0,False
2024-03-08_0105,7114,0,False
2024-03-08_0205,7115,0,False
2024-03-08_0305,7116,0,False
2024-03-08_0405,7117,355,False
2024-03-08_0505,7118,0,False
2024-03-08_0605,7119,0,False
2024-03-08_0705,7120,0,False
2024-03-08_0805,7121,1,False
2024-03-08_0905,7122,0,False
2024-03-08_1005,7123,0,False
2024-03-08_1105,7124,1,False
2024-03-08_1205,7125,0,False
2024-03-08_1305,7126,0,False
2024-03-08_1405,7127,0,False
2024-03-08_1505,7128,0,False
2024-03-08_1605,7129,0,False
2024-03-08_1705,7130,0,False
2024-03-08_1805,7131,0,False
2024-03-08_1905,7132,0,False
2024-03-08_2005,7133,0,False
2024-03-08_2105,7134,0,False
2024-03-08_2205,7135,0,False
2024-03-08_2305,7136,0,False
2024-03-09_0005,7137,0,False
2024-03-09_0105,7138,0,False
2024-03-09_0205,7139,0,False
2024-03-09_0305,7140,0,False
2024-03-09_0405,7141,0,False
2024-03-09_0505,7142,0,False
2024-03-09_0605,7143,0,False
2024-03-09_0705,7144,0,False
2024-03-09_0805,7145,0,False
2024-03-09_0905,7146,0,False
2024-03-09_1005,7147,0,False
2024-03-09_1105,7148,0,False
2024-03-09_1205,7149,0,False
2024-03-09_1305,7150,0,False
2024-03-09_1405,7151,0,False
2024-03-09_1505,7152,0,False
2024-03-09_1605,7153,0,False
2024-03-09_1705,7154,0,False
2024-03-09_1805,7155,0,False
2024-03-09_1905,7156,0,False
2024-03-09_2005,7157,0,False
2024-03-09_2105,7158,0,False
2024-03-09_2205,7159,0,False
2024-03-09_2305,7160,78,False
2024-03-10_0005,7161,0,False
2024-03-10_0105,7162,0,False
2024-03-10_0305,7163,0,False
2024-03-10_0405,7164,83,False
2024-03-10_0505,7165,0,False
2024-03-10_0605,7166,1,False
2024-03-10_0705,7167,1,False
2024-03-10_0805,7168,0,False
2024-03-10_0905,7169,0,False
2024-03-10_1005,7170,0,False
2024-03-10_1105,7171,0,False
2024-03-10_1205,7172,0,False
2024-03-10_1305,7173,3,False
2024-03-10_1405,7174,1,False
2024-03-10_1505,7175,0,False
2024-03-10_1605,7176,0,False
2024-03-10_1705,7177,1,False
2024-03-10_1805,7178,0,False
2024-03-10_1905,7179,0,False
2024-03-10_2005,7180,0,False
2024-03-10_2105,7181,0,False
2024-03-10_2205,7182,0,False
2024-03-10_2305,7183,0,False
2024-03-11_0005,7184,0,False
2024-03-11_0105,7185,0,False
2024-03-11_0205,7186,0,False
2024-03-11_0305,7187,0,False
2024-03-11_0405,7188,0,False
2024-03-11_0505,7189,0,False
2024-03-11_0605,7190,0,False
2024-03-11_0705,7191,0,False
2024-03-11_0805,7192,0,False
2024-03-11_0905,7193,0,False
2024-03-11_1005,7194,1,False
2024-03-11_1105,7195,0,False
2024-03-11_1205,7196,0,False
2024-03-11_1305,7197,0,False
2024-03-11_1405,7198,0,False
2024-03-11_1505,7199,2,False
2024-03-11_1605,7200,0,False
2024-03-11_1705,7201,0,False
2024-03-11_1805,7202,0,False
2024-03-11_1905,7203,0,False
2024-03-11_2005,7204,0,False
2024-03-11_2105,7205,0,False
2024-03-11_2205,7206,0,False
2024-03-11_2305,7207,1,False
2024-03-12_0005,7208,0,False
2024-03-12_0105,7209,0,False
2024-03-12_0205,7210,0,False
2024-03-12_0305,7211,0,False
2024-03-12_0405,7212,0,False
2024-03-12_0505,7213,0,False
2024-03-12_0605,7214,0,False
2024-03-12_0705,7215,0,False
2024-03-12_0805,7216,0,False
2024-03-12_0905,7217,0,False
2024-03-12_1005,7218,0,False
2024-03-12_1105,7219,0,False
2024-03-12_1205,7220,0,False
2024-03-12_1305,7221,0,False
2024-03-12_1405,7222,0,False
2024-03-12_1505,7223,0,False
2024-03-12_1605,7224,0,False
2024-03-12_1705,7225,1,False
2024-03-12_1805,7226,2,False
2024-03-12_1905,7227,1,False
2024-03-12_2005,7228,0,False
2024-03-12_2105,7229,0,False
2024-03-12_2205,7230,1,False
2024-03-12_2305,7231,0,False
2024-03-13_0005,7232,0,False
