Date,Hours From Start,Area,MayHavePlant
2023-05-17_1805,0,0,False
2023-05-17_1905,1,0,False
2023-05-17_2005,2,0,False
2023-05-17_2105,3,0,False
2023-05-17_2205,4,0,False
2023-05-17_2305,5,0,False
2023-05-18_0005,6,0,False
2023-05-18_0105,7,0,False
2023-05-18_0205,8,0,False
2023-05-18_0305,9,0,False
2023-05-18_0405,10,0,False
2023-05-18_0505,11,0,False
2023-05-18_0605,12,0,False
2023-05-18_0705,13,0,False
2023-05-18_0805,14,0,False
2023-05-18_0905,15,0,False
2023-05-18_1005,16,0,False
2023-05-18_1105,17,0,False
2023-05-18_1205,18,0,False
2023-05-18_1305,19,0,False
2023-05-18_1405,20,0,False
2023-05-18_1505,21,0,False
2023-05-18_1605,22,0,False
2023-05-18_1705,23,0,False
2023-05-18_1805,24,0,False
2023-05-18_1905,25,0,False
2023-05-18_2005,26,0,False
2023-05-18_2105,27,0,False
2023-05-18_2205,28,0,False
2023-05-18_2305,29,0,False
2023-05-19_0005,30,0,False
2023-05-19_0105,31,0,False
2023-05-19_0205,32,0,False
2023-05-19_0305,33,0,False
2023-05-19_0405,34,0,False
2023-05-19_0505,35,0,False
2023-05-19_0605,36,0,False
2023-05-19_0705,37,0,False
2023-05-19_0805,38,0,False
2023-05-19_0905,39,0,False
2023-05-19_1005,40,0,False
2023-05-19_1105,41,0,False
2023-05-19_1205,42,0,False
2023-05-19_1305,43,0,False
2023-05-19_1405,44,0,False
2023-05-19_1505,45,0,False
2023-05-19_1605,46,0,False
2023-05-19_1722,47,0,False
2023-05-19_1905,49,0,False
2023-05-19_2005,50,0,False
2023-05-22_0905,111,0,False
2023-05-22_1005,112,0,False
2023-05-22_1105,113,0,False
2023-05-22_1205,114,0,False
2023-05-22_1305,115,0,False
2023-05-22_1405,116,0,False
2023-05-22_1505,117,0,False
2023-05-22_1605,118,0,False
2023-05-22_1705,119,0,False
2023-05-22_1805,120,0,False
2023-05-23_1005,136,0,False
2024-01-02_1148,5514,38,False
2024-01-12_1205,5755,1,False
2024-01-12_1305,5756,4,False
2024-01-12_1405,5757,0,False
2024-01-12_1505,5758,0,False
2024-01-12_1605,5759,1,False
2024-01-12_1705,5760,0,False
2024-01-12_1805,5761,1,False
2024-01-12_1905,5762,1,False
2024-01-12_2005,5763,0,False
2024-01-12_2105,5764,0,False
2024-01-12_2205,5765,0,False
2024-01-12_2305,5766,0,False
2024-01-13_0005,5767,0,False
2024-01-13_0105,5768,2,False
2024-01-13_0205,5769,1,False
2024-01-13_0305,5770,1,False
2024-01-13_0405,5771,1,False
2024-01-13_0505,5772,2,False
2024-01-13_0605,5773,11,False
2024-01-13_0705,5774,10,False
2024-01-13_0805,5775,1,False
2024-01-13_0905,5776,7,False
2024-01-13_1005,5777,3,False
2024-01-13_1105,5778,4,False
2024-01-13_1205,5779,1,False
2024-01-13_1305,5780,1,False
2024-01-13_1405,5781,0,False
2024-01-13_1505,5782,3,False
2024-01-13_1605,5783,2,False
2024-01-13_1705,5784,3,False
2024-01-13_1805,5785,1,False
2024-01-13_1905,5786,1,False
2024-01-13_2005,5787,3,False
2024-01-13_2105,5788,1,False
2024-01-13_2205,5789,2,False
2024-01-13_2305,5790,3,False
2024-01-14_0005,5791,4,False
2024-01-14_0105,5792,8,False
2024-01-14_0205,5793,6,False
2024-01-14_0305,5794,5,False
2024-01-14_0405,5795,1,False
2024-01-14_0505,5796,2,False
2024-01-14_0605,5797,2,False
2024-01-14_0705,5798,2,False
2024-01-14_0805,5799,0,False
2024-01-14_0905,5800,4,False
2024-01-14_1005,5801,1,False
2024-01-14_1105,5802,1,False
2024-01-14_1205,5803,2,False
2024-01-14_1305,5804,1,False
2024-01-14_1405,5805,3,False
2024-01-14_1505,5806,2,False
2024-01-14_1605,5807,4,False
2024-01-14_1705,5808,3,False
2024-01-14_1805,5809,0,False
2024-01-14_1905,5810,5,False
2024-01-14_2005,5811,2,False
2024-01-14_2105,5812,4,False
2024-01-14_2205,5813,3,False
2024-01-14_2305,5814,4,False
2024-01-15_0005,5815,1,False
2024-01-15_0105,5816,8,False
2024-01-15_0205,5817,7,False
2024-01-15_0305,5818,3,False
2024-01-15_0405,5819,6,False
2024-01-15_0505,5820,8,False
2024-01-15_0605,5821,2,False
2024-01-15_0705,5822,4,False
2024-01-15_0805,5823,4,False
2024-01-15_0905,5824,2,False
2024-01-15_1005,5825,4,False
2024-01-15_1105,5826,2,False
2024-01-15_1205,5827,5,False
2024-01-15_1305,5828,1,False
2024-01-15_1405,5829,4,False
2024-01-15_1505,5830,2,False
2024-01-15_1605,5831,2,False
2024-01-15_1705,5832,2,False
2024-01-15_1805,5833,2,False
2024-01-15_1905,5834,1,False
2024-01-15_2005,5835,4,False
2024-01-15_2105,5836,2,False
2024-01-15_2205,5837,3,False
2024-01-15_2305,5838,3,False
2024-01-16_0005,5839,1,False
2024-01-16_0105,5840,1,False
2024-01-16_0205,5841,6,False
2024-01-16_0305,5842,9,False
2024-01-16_0405,5843,5,False
2024-01-16_0505,5844,4,False
2024-01-16_0605,5845,1,False
2024-01-16_0705,5846,10,False
2024-01-16_0805,5847,2,False
2024-01-16_0905,5848,0,False
2024-01-16_1005,5849,4,False
2024-01-16_1105,5850,1,False
2024-01-16_1205,5851,2,False
2024-01-16_1305,5852,2,False
2024-01-16_1405,5853,0,False
2024-01-16_1505,5854,0,False
2024-01-16_1605,5855,1,False
2024-01-16_1705,5856,4,False
2024-01-16_1805,5857,5,False
2024-01-16_1905,5858,2,False
2024-01-16_2005,5859,1,False
2024-01-16_2105,5860,2,False
2024-01-16_2205,5861,0,False
2024-01-16_2305,5862,1,False
2024-01-17_0005,5863,1,False
2024-01-17_0105,5864,2,False
2024-01-17_0205,5865,3,False
2024-01-17_0305,5866,2,False
2024-01-17_0405,5867,6,False
2024-01-17_0505,5868,0,False
2024-01-17_0605,5869,0,False
2024-01-17_0705,5870,5,False
2024-01-17_0805,5871,3,False
2024-01-17_0905,5872,7,False
2024-01-17_1005,5873,0,False
2024-01-17_1105,5874,0,False
2024-01-17_1205,5875,7,False
2024-01-17_1305,5876,2,False
2024-01-17_1405,5877,1020,False
2024-01-17_1505,5878,984,False
2024-01-17_1605,5879,865,False
2024-01-17_1705,5880,978,False
2024-01-17_1805,5881,889,False
2024-01-17_1905,5882,701,False
2024-01-17_2005,5883,830,False
2024-01-17_2105,5884,889,False
2024-01-17_2205,5885,849,False
2024-01-17_2305,5886,1210,False
2024-01-18_0005,5887,1235,False
2024-01-18_0105,5888,1310,False
2024-01-18_0205,5889,1276,False
2024-01-18_0305,5890,1211,False
2024-01-18_0405,5891,977,False
